gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Nampt	6.756548537959782e-135	0.748865052585945	0.762	0.343	1.4224561636966729e-130	1.0872443635036175e-117	0.738142379345317	0.79	0.422	2.288975558484166e-113	1.0872443635036175e-117	1.3513097075919968e-134	BEC
Pnp	7.073962430240985e-134	0.7471674470914701	0.831	0.531	1.4892813104386347e-129	7.754787468040406e-100	0.6144494469900438	0.839	0.584	1.6326154056465465e-95	7.754787468040406e-100	1.4147924860482371e-133	BEC
Naa25	6.642357389861471e-133	0.7304051033981491	0.695	0.212	1.3984155012875354e-128	1.2897034104144293e-112	0.7319185864752025	0.692	0.242	2.715212589945498e-108	1.2897034104144293e-112	1.3284714779722973e-132	BEC
Fndc3a	4.885333063061149e-131	0.8207601423737578	0.754	0.374	1.0285091697662638e-126	3.1419268989261482e-112	0.761103842651609	0.759	0.41	6.61469870030922e-108	3.1419268989261482e-112	9.770666126122567e-131	BEC
Gm10076	2.711240591406054e-130	0.7319856818382855	0.796	0.466	5.707974817087165e-126	1.3129285087658968e-116	0.7053916770522866	0.82	0.513	2.7641083895048425e-112	1.3129285087658968e-116	5.4224811828121424e-130	BEC
Thbs1	1.0084125601881776e-127	0.9390011623575347	0.719	0.261	2.12301096296417e-123	4.304484263699644e-130	0.9779581009546658	0.799	0.354	9.06223072036686e-126	1.0084125601881776e-127	8.60896852739928e-130	BEC
Plaur	1.3829902781667958e-129	0.8522257143730633	0.706	0.247	2.9116094326245554e-125	7.512517928825071e-65	0.5715797700804675	0.669	0.366	1.581610399555542e-60	7.512517928825071e-65	2.7659805563335963e-129	BEC
F830016B08Rik	4.0903002610237054e-128	0.8596002527806199	0.659	0.16	8.611309139533207e-124	3.2234375373382466e-113	0.8914525349524098	0.671	0.161	6.78630304735821e-109	3.2234375373382466e-113	8.180600522047357e-128	BEC
S100a11	2.4533727156478536e-127	0.6366314703372462	0.917	0.657	5.165085578253426e-123	9.555215786975043e-93	0.5118650045668791	0.925	0.731	2.0116595796318557e-88	9.555215786975043e-93	4.906745431295685e-127	BEC
Tubb6	6.772401051681378e-127	0.8139289633749485	0.712	0.251	1.4257935934104805e-122	9.759309967280102e-53	0.49556506698418107	0.684	0.41	2.05462752741148e-48	9.759309967280102e-53	1.354480210336292e-126	BEC
Chmp4b	3.134722167203517e-126	0.6103535958967478	0.833	0.582	6.599530578613564e-122	1.6944509130594904e-78	0.46343559926496114	0.84	0.619	3.567327507264145e-74	1.6944509130594904e-78	6.26944433440698e-126	BEC
Cd200	2.066211860646573e-120	0.5432213425657937	0.908	0.687	4.3499958302192303e-116	1.4011398752033563e-125	0.5646469724236354	0.92	0.712	2.949819779265626e-121	2.066211860646573e-120	2.8022797504066496e-125	BEC
Klf6	1.428662971051348e-125	0.6754097896237877	0.874	0.582	3.0077641529544027e-121	2.759166970458723e-108	0.6105633590512519	0.886	0.644	5.808874222906749e-104	2.759166970458723e-108	2.85732594210268e-125	BEC
Rhoc	2.3500604511078618e-125	0.6502528445320286	0.867	0.645	4.947582267717382e-121	2.1600675298783562e-80	0.5060212888834783	0.88	0.667	4.547590170652903e-76	2.1600675298783562e-80	4.700120902215812e-125	BEC
Etnk1	1.207550775274206e-103	0.6466840160909878	0.752	0.426	2.5422566471847862e-99	2.664586297913059e-125	0.7766653081433899	0.8	0.447	5.609753532996363e-121	1.207550775274206e-103	5.32917259582602e-125	BEC
Ly6c1	9.146009176930946e-50	0.40461156040449286	0.937	0.736	1.925509312019272e-45	6.375328859827222e-125	0.5937040846866977	0.967	0.754	1.342197984859425e-120	9.146009176930946e-50	1.2750657719654156e-124	BEC
Sp110	4.262866581850826e-124	0.736303434789312	0.749	0.329	8.974613014770543e-120	5.14675140721589e-115	0.7447551359993456	0.764	0.364	1.0835455737611612e-110	5.14675140721589e-115	8.525733163701512e-124	BEC
Serping1	1.9081798148852683e-123	0.7853623761678656	0.656	0.127	4.0172909642779554e-119	2.516564115964864e-88	0.7025353709092563	0.697	0.195	5.298122433340828e-84	2.516564115964864e-88	3.816359629770584e-123	BEC
H2-Q6	3.8407324390138707e-87	0.5661449174071308	0.793	0.521	8.085894003855902e-83	2.2445187825909192e-123	0.7003553529369987	0.852	0.544	4.7253853929886624e-119	3.8407324390138707e-87	4.489037565181896e-123	BEC
H2-T23	6.505632594486099e-116	0.5668466858943664	0.891	0.638	1.3696308301171584e-111	2.6732570907011232e-123	0.5941343765767308	0.918	0.675	5.628008153053074e-119	6.505632594486099e-116	5.346514181402265e-123	BEC
Ecscr	6.390700792007994e-123	0.5007854699269298	0.897	0.691	1.3454342377414428e-118	7.4904552408321185e-78	0.37298027115254895	0.891	0.745	1.576965541852386e-73	7.4904552408321185e-78	1.278140158401579e-122	BEC
Irgm2	6.8820393974911516e-105	0.5809328785251477	0.638	0.193	1.448875754353812e-100	1.3259661878583674e-122	0.7306371906590824	0.707	0.178	2.7915566152982207e-118	6.8820393974911516e-105	2.6519323757167336e-122	BEC
Trafd1	2.2294367111520343e-120	0.7299453963303884	0.765	0.401	4.6936331079883774e-116	2.4929118675507806e-122	0.7552146313709883	0.792	0.418	5.248327354754658e-118	2.2294367111520343e-120	4.985823735101484e-122	BEC
Adamts4	4.017073071285465e-121	0.8179434550022697	0.626	0.134	8.45714393697729e-117	2.181077146985675e-74	0.6707322287384252	0.628	0.251	4.591821717548942e-70	2.181077146985675e-74	8.034146142570993e-121	BEC
Lgals3bp	3.138421157891575e-120	0.746894958187509	0.788	0.433	6.607318063709133e-116	2.69142172373606e-119	0.7660870190799326	0.839	0.485	5.666250154981527e-115	2.69142172373606e-119	6.276842315783239e-120	BEC
Xdh	1.682458595130796e-111	0.6968864295018351	0.661	0.202	3.5420800803288646e-107	6.961992887197722e-120	0.8020701501607281	0.702	0.191	1.4657083625417362e-115	1.682458595130796e-111	1.3923985774395823e-119	BEC
Olfr56	2.4978648008737024e-119	0.5899749921867831	0.586	0.078	5.258754765279406e-115	3.204160688894561e-92	0.5691377855319312	0.571	0.085	6.74571949832972e-88	3.204160688894561e-92	4.995729601747482e-119	BEC
Rtp4	3.1247538814420956e-119	0.7054712658687933	0.779	0.417	6.578544346600044e-115	1.8343959520606143e-105	0.6725817100568787	0.794	0.47	3.8619537978732116e-101	1.8343959520606143e-105	6.249507762884191e-119	BEC
Chd7	6.875535700254002e-119	0.772567448154482	0.717	0.339	1.447506530974475e-114	2.1200692808658882e-107	0.7766543221861478	0.734	0.375	4.4633818570069544e-103	2.1200692808658882e-107	1.3751071400507684e-118	BEC
Eif2s2	4.192101512421383e-118	0.5735578886416937	0.882	0.645	8.825631314100737e-114	1.6873007894172487e-66	0.3821368050600993	0.89	0.712	3.5522743519601336e-62	1.6873007894172487e-66	8.384203024842641e-118	BEC
H2-T22	1.4033350118623213e-88	0.5459422707164383	0.807	0.553	2.954441200473745e-84	1.2636456633064658e-117	0.6840623434582682	0.837	0.549	2.6603532149591024e-113	1.4033350118623213e-88	2.527291326612872e-117	BEC
