gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Ctsd	2.1917817755226092e-51	-0.5008164543990639	0.402	0.6	4.614358172007749e-47	4.080668072958828e-37	-0.43980199635539774	0.452	0.638	8.59103049400022e-33	4.080668072958828e-37	4.383563551045216e-51	BEC
Fuca1	3.009678258218791e-44	-0.3529504402711283	0.251	0.473	6.33627563702802e-40	3.536941428434818e-51	-0.37399743416142595	0.257	0.534	7.446322789283822e-47	3.009678258218791e-44	7.073882856869605e-51	BEC
Vat1	1.0468794788282797e-50	-0.360112353816467	0.253	0.495	2.2039953667771772e-46	8.870697235885248e-34	-0.27418818915213916	0.272	0.495	1.8675478890709213e-29	8.870697235885248e-34	2.0937589576565538e-50	BEC
Dbi	6.577874361829562e-50	-0.46785389963313	0.399	0.612	1.3848398893959777e-45	6.651990572768334e-42	-0.42158655750008334	0.489	0.683	1.4004435752849174e-37	6.651990572768334e-42	1.3155748723659189e-49	BEC
Cd81	9.344350099092967e-50	-0.40668331537360447	0.708	0.804	1.9672660263620423e-45	1.4436562708916053e-41	-0.3446127174107527	0.77	0.814	3.0393295471080966e-37	1.4436562708916053e-41	1.868870019818586e-49	BEC
Eln	2.775147583020904e-49	-0.4145975093041091	0.155	0.404	5.84251820653391e-45	4.554561312983568e-29	-0.27033275627592585	0.19	0.406	9.588717932224306e-25	4.554561312983568e-29	5.550295166041837e-49	BEC
Aqp1	6.529993057777506e-49	-0.5923342393415071	0.483	0.668	1.3747594384538984e-44	1.6538367629482754e-29	-0.44396289916068454	0.526	0.679	3.481822537035004e-25	1.6538367629482754e-29	1.3059986115555084e-48	BEC
Btg2	1.3844615077533824e-48	-0.5387988751980191	0.559	0.678	2.914706812273196e-44	3.080071363615775e-24	-0.3804480276024488	0.581	0.66	6.484474241820291e-20	3.080071363615775e-24	2.7689230155067776e-48	BEC
Selenoh	2.68513255872639e-48	-0.35168485808007777	0.176	0.411	5.653009575886669e-44	8.239111000733192e-47	-0.3515776098201049	0.217	0.482	1.734580038984359e-42	8.239111000733192e-47	5.3702651174527834e-48	BEC
Pnkd	4.515414112674898e-48	-0.31106844315927235	0.208	0.452	9.506301331414463e-44	1.778182791679066e-46	-0.28777390956405263	0.242	0.52	3.743608231321938e-42	1.778182791679066e-46	9.030828225349798e-48	BEC
Ntan1	4.774123810249455e-35	-0.2878525373740804	0.245	0.443	1.0050962857718178e-30	5.342968020073087e-48	-0.29629038759292303	0.223	0.489	1.124855057265987e-43	4.774123810249455e-35	1.0685936040146167e-47	BEC
