gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Hmgb1	1.7199151050542005e-100	-0.6547216594115504	0.777	0.995	3.586882951590535e-96	2.1579270169529406e-61	-0.6713748562909255	0.806	0.978	4.5003567938553576e-57	2.1072663839766784e-45	-0.7236815836241636	0.617	0.945	4.394704043783363e-41	2.1072663839766784e-45	5.159745315162631e-100	CD34+ SC
Prkg1	2.338225448625744e-45	-0.2999725625716783	0.237	0.468	4.876369173108989e-41	4.7593935522165664e-51	-0.32098570092588913	0.235	0.488	9.92571525314765e-47	2.8516234350480966e-52	-0.25065342150839476	0.213	0.457	5.947060673792806e-48	2.338225448625744e-45	8.554870305144237e-52	PvC
Cped1	3.548068267010277e-66	-0.5604614845733372	0.223	0.791	7.399496370849933e-62	1.6599249731801768e-47	-0.6392845410260319	0.247	0.777	3.4617735315672586e-43	2.3887295590938908e-45	-0.6312709134974255	0.151	0.717	4.98169549549031e-41	2.3887295590938908e-45	1.064420480103071e-65	CD34+ SC
Myl9	1.92363861173275e-98	-0.8673847660353193	0.171	0.839	4.0117483247686504e-94	1.2580454962313458e-70	-0.9433693903914265	0.184	0.866	2.623653882390472e-66	2.6028560955522126e-45	-0.719846089453566	0.195	0.772	5.42825638727414e-41	2.6028560955522126e-45	5.7709158351982774e-98	CD34+ SC
Tmem14c	3.2044362304918896e-45	-0.29190512345873465	0.491	0.561	6.682851758690836e-41	1.3854980112448509e-71	-0.34536019897544834	0.458	0.595	2.8894561024511363e-67	3.0612836821820605e-46	-0.2550243540883804	0.51	0.571	6.384307119190687e-42	3.2044362304918896e-45	4.156494033734492e-71	BEC
Kif20a	4.026813440168696e-179	-0.5289736795935226	0.006	0.478	8.397919429471815e-175	6.250644587531155e-165	-0.6009239825813693	0.005	0.5	1.3035719287296224e-160	3.394675415352373e-45	-0.30315537545978893	0.012	0.255	7.079595578717374e-41	3.394675415352373e-45	1.2080440320506171e-178	Cxcl9+ TRC
Auts2	8.943166032616934e-67	-0.5932114038876224	0.223	0.75	1.8650972761022615e-62	1.2077794806473882e-54	-0.679989872145923	0.186	0.765	2.5188241068901283e-50	3.4741444835485427e-45	-0.6414441505345574	0.141	0.693	7.245328320440486e-41	3.4741444835485427e-45	2.6829498097850527e-66	CD34+ SC
Mxra8	3.405094338139392e-99	-0.7470358681115745	0.231	0.872	7.101324242189702e-95	3.099063935339015e-54	-0.6566375792225961	0.243	0.799	6.4630978371495165e-50	5.2169215937423123e-45	-0.6172152962914963	0.17	0.748	1.0879889983749591e-40	5.2169215937423123e-45	1.0215283014418013e-98	CD34+ SC
Lmnb1	1.1005504830400839e-57	-0.7965011142792301	0.123	0.746	2.295198032380095e-53	6.647971919714211e-45	-0.8292770281217755	0.114	0.773	1.3864345438563988e-40	5.755764873491891e-53	-0.8079830323518786	0.102	0.766	1.2003647643667339e-48	6.647971919714211e-45	3.30165144912021e-57	Cxcl9+ TRC
Gucy1a1	1.4893084615489881e-55	-0.5396071925690159	0.07	0.526	3.1059527965604146e-51	3.6537403350687135e-60	-0.7170520214372776	0.068	0.648	7.619875468785802e-56	9.304324662581489e-45	-0.6027591133861003	0.07	0.528	1.9404169083813697e-40	9.304324662581489e-45	1.0961221005206218e-59	CD34+ SC
Cenph	2.7449463022219796e-118	-0.3676032548675891	0.009	0.403	5.7245855132839386e-114	8.638033709427203e-53	-0.2811187002123711	0.012	0.318	1.8014619301010432e-48	2.3991106123717895e-44	-0.2952533653073912	0.019	0.319	5.003345182101367e-40	2.3991106123717895e-44	8.23483890666612e-118	Cxcl9+ TRC
Efnb1	1.81362376526513e-64	-0.35965208329843357	0.31	0.486	3.782312362460429e-60	2.564968851242585e-94	-0.4088550023255419	0.28	0.518	5.349242539266411e-90	2.9228592183169286e-44	-0.25831507008154664	0.351	0.47	6.095622899799955e-40	2.9228592183169286e-44	7.694906553727637e-94	BEC
Gna11	3.0102931971161005e-44	-0.281472183233277	0.275	0.491	6.277966462585628e-40	4.735426588330501e-58	-0.314712062391543	0.22	0.488	9.87573214996326e-54	1.2112996292326279e-91	-0.3505044785425301	0.192	0.505	2.5261653767646452e-87	3.0102931971161005e-44	3.6338988876979195e-91	PvC
Prss23	2.2499527498440652e-49	-0.36707827758572653	0.26	0.42	4.692276459799798e-45	8.220910517230256e-83	-0.4263777270103819	0.246	0.473	1.71447088836837e-78	3.531675364369045e-44	-0.30115915885402966	0.294	0.413	7.365308972391645e-40	3.531675364369045e-44	2.46627315516909e-82	BEC
mt-Nd4l	1.6425093770577707e-53	-0.34027566796406106	0.61	0.763	3.425453305853981e-49	3.95516676673985e-44	-0.31100743835902256	0.573	0.741	8.248500292035958e-40	7.637219598317148e-106	-0.44321624974890117	0.497	0.77	1.5927421472290414e-101	3.95516676673985e-44	2.2911658794951164e-105	PvC
Ube2c	9.976775155548593e-168	-0.9206282751715524	0.01	0.522	2.0806564586896592e-163	3.7937978598213503e-60	-0.6411085772390479	0.016	0.386	7.911965436657426e-56	4.3293899600520313e-44	-0.5775508430704949	0.025	0.362	9.028942761688511e-40	4.3293899600520313e-44	2.9930325466645144e-167	Cxcl9+ TRC
Lxn	9.99211056014867e-55	-0.3240892868709596	0.156	0.394	2.0838546573190053e-50	4.3463571936574255e-44	-0.30186636506018893	0.185	0.407	9.064327927372562e-40	1.8780049404441278e-68	-0.28705326919540153	0.15	0.406	3.9165793032962285e-64	4.3463571936574255e-44	5.6340148213323356e-68	PvC
Cav2	4.601037273110863e-44	-0.298100570284229	0.206	0.428	9.595463233072705e-40	3.785838991227162e-81	-0.38894756853520374	0.162	0.477	7.895367216204246e-77	1.0762830035145832e-71	-0.3243350125690524	0.179	0.448	2.2445882038296633e-67	4.601037273110863e-44	1.135751697368153e-80	PvC
Gpx4	3.05860531913521e-109	-0.7550712237384417	0.598	0.982	6.37872139305648e-105	5.4876234508568706e-52	-0.6376661142329171	0.673	0.944	1.1444438706762005e-47	4.976840927025528e-44	-0.740089301786707	0.461	0.937	1.0379201753311739e-39	4.976840927025528e-44	9.175815957405505e-109	CD34+ SC
Cd81	1.3530427277444966e-93	-0.504374503538555	0.889	0.997	2.8217706087111475e-89	3.1453708650079933e-53	-0.5044840259649239	0.918	0.994	6.55967093897417e-49	6.574269257761979e-44	-0.5616454892045475	0.825	0.992	1.3710638537062608e-39	6.574269257761979e-44	4.059128183233428e-93	CD34+ SC
Cbfa2t3	7.199971956576803e-44	-0.2518400193169812	0.018	0.284	1.5015541515440923e-39	1.9918014360992e-64	-0.34762429730576416	0.013	0.364	4.153901894984882e-60	1.851080013380029e-75	-0.4471340943624842	0.021	0.447	3.86042736790405e-71	7.199971956576803e-44	5.553240040140091e-75	Cxcl9+ TRC
Idh2	2.3749660297111006e-53	-0.42865439788053517	0.161	0.645	4.952991654962501e-49	4.1971883556040503e-44	-0.531541498845696	0.171	0.682	8.753236315612247e-40	9.597775405859614e-44	-0.5339177091244308	0.101	0.598	2.0016160608920225e-39	9.597775405859614e-44	7.124898089133253e-53	CD34+ SC
Kdelr3	6.089751242472241e-63	-0.5655925595672411	0.39	0.855	1.2700176216175858e-58	1.1952489319646992e-43	-0.6532970513915237	0.384	0.821	2.49269164761238e-39	9.438997097104297e-46	-0.7390753484692283	0.257	0.827	1.968502844601101e-41	1.1952489319646992e-43	1.8269253727416671e-62	CD34+ SC
Dbf4	1.5333676387192376e-52	-0.35382886537400293	0.027	0.373	3.1978382105489697e-48	3.1235224797400323e-60	-0.5302947448259786	0.029	0.5	6.514106131497838e-56	1.5996606020569027e-43	-0.3397775375444215	0.032	0.404	3.33609218558967e-39	1.5996606020569027e-43	9.37056743922009e-60	Cxcl9+ TRC
