gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
Iqcn	2.8720371339776126e-4	0.760816706649525	0.388	0.03	1	7.4920944857137625e-6	0.7751101417804815	0.416	0.041	0.15624763049956053	3.691862106400879e-5	0.6994958619444965	0.427	0.093	0.7699378422899033	2.8720371339776126e-4	2.2476115063122465e-5	Marco_LEC
mt-Cytb	4.0261937870897135e-7	0.34366394997617733	1	0.972	0.008396627142975597	3.847858535096618e-6	0.3193027773888004	1	0.948	0.08024708974943996	4.0313912826911506e-4	0.21638068174301983	0.944	0.962	1	4.0313912826911506e-4	1.2078576498198871e-6	PvC
mt-Nd1	4.657235261871566e-4	0.22534091081268892	1	0.978	1	3.294268078379541e-4	0.20583378222308824	1	0.969	1	3.3293292183818486e-4	0.17842385430828478	1	0.977	1	4.657235261871566e-4	9.879548931987594e-4	FRC
mt-Co2	5.025109152739143e-4	0.5634808954654875	1	0.908	1	6.843597368072608e-5	0.4024277577129125	0.9	0.861	1	1.3994361094795358e-8	0.2957087417703841	0.898	0.908	2.918524006319572e-4	5.025109152739143e-4	4.1983082696859656e-8	BEC
mt-Nd1	5.378013182062632e-4	0.38678940792111227	1	0.848	1	2.4251923814751295e-6	0.3823237496711689	1	0.878	0.05057738711566383	2.586725130119059e-5	0.3440508479360609	0.922	0.796	0.5394615258863298	5.378013182062632e-4	7.275559499765391e-6	Marco_LEC
Prickle2	8.296331786074853e-6	0.47042682237725353	0.409	0.118	0.17301999939859106	7.507790760779761e-4	0.27802628263367324	0.36	0.137	1	5.6885200971648e-8	0.4411580299649811	0.316	0.082	0.001186340866263719	7.507790760779761e-4	1.7065559320716554e-7	FRC
mt-Nd5	1.0697247447768242e-9	0.921353257344796	0.805	0.39	2.230910955232067e-5	4.897376788998426e-9	0.6025936891948767	0.741	0.514	1.0213479293456218e-4	8.702680637888845e-4	0.31257513893992694	0.706	0.608	1	8.702680637888845e-4	3.2091742308975423e-9	unassigned-LEC
Sh3bgr	1.3475406429925654e-18	0.5878805825830008	0.312	0.017	2.8102960109609953e-14	4.099964030211504e-8	0.41367452158805507	0.214	0.017	8.550474985006091e-4	8.795348539707556e-4	0.2532871055526077	0.111	0.015	1	8.795348539707556e-4	4.042621928977691e-18	PvC
Ldb3	2.807664864259133e-5	0.27064712636307287	0.188	0.024	0.5855385074412421	8.92091919178691e-4	0.21083126215933104	0.143	0.019	1	3.304666676442248e-5	0.23229951651593267	0.167	0.022	0.6891882353720308	8.92091919178691e-4	8.422758105530965e-5	PvC
Hist1h1d	9.136251249791818e-4	0.7414191913728254	0.408	0.061	1	0.00039745304834372613	0.6272201644346975	0.442	0.122	1	7.91044930169696e-6	0.7497190147996244	0.447	0.074	0.1649724201868901	9.136251249791818e-4	2.3731160179961414e-5	Marco_LEC
Hhex	9.935430724723013e-4	0.21021507729199837	0.125	0.017	1	3.83421946824152e-9	0.23872409037404138	0.286	0.026	7.99626470101769e-5	2.184410787723863e-9	0.22453193398994592	0.222	0.02	4.555588697798117e-5	9.935430724723013e-4	6.553232348856642e-9	PvC
mt-Co3	0.0012604510129688663	0.5172754561571953	1	0.94	1	1.8605028798054104e-6	0.48337129787007216	1	0.896	0.038800787558341834	2.059368749734664e-12	0.3685967034459723	0.939	0.925	4.294813527571642e-8	0.0012604510129688663	6.178106249191277e-12	BEC
Pgm5	7.812288676885108e-9	0.34060893946599147	0.25	0.024	1.6292528035643893e-4	1.8643657662842941e-4	0.24542493490022846	0.143	0.016	1	0.0015900394325965388	0.17240328092034848	0.111	0.016	1	0.0015900394325965388	2.343686584755981e-8	PvC
Rbms1	5.35501818237654e-4	0.43816355511742944	0.837	0.636	1	1.1473364681084504e-4	0.43141818360870454	0.831	0.633	1	0.0016355983357530034	0.3221208893581269	0.777	0.63	1	0.0016355983357530034	3.441614505137353e-4	Marco_LEC
Zbtb20	8.542821586622753e-4	0.6681261152333806	0.735	0.455	1	0.00163949447202774	0.5077519155403587	0.688	0.449	1	8.755864569295843e-4	0.47732227371822467	0.641	0.481	1	0.00163949447202774	0.002560657705420417	Marco_LEC
Cxcl2	3.4037168843937274e-4	0.5296118248169744	0.545	0.241	1	1.2318063807721576e-6	0.5798297345564662	0.6	0.209	0.025689322071003346	0.0018029660201956004	0.4127395222301604	0.421	0.229	1	0.0018029660201956004	3.69541459027746e-6	FRC
Gm42418	0.0018966066508228126	0.22921002528187628	1	0.994	1	1.4558436875628236e-6	0.23637701993903004	1	0.987	0.030361620104122685	3.1333011346665503e-10	0.19068653612758846	1	0.995	6.534499516347091e-6	0.0018966066508228126	9.399903401054377e-10	BEC
mt-Nd5	8.942267661073766e-4	0.5205381555633799	0.878	0.697	1	1.8143621714102345e-7	0.6057849516097027	0.935	0.694	0.003783852308476044	0.0019224641651918665	0.3536310028632077	0.738	0.667	1	0.0019224641651918665	5.443085526657732e-7	Marco_LEC
mt-Nd4	0.002070154615889764	0.6482768214991141	1	0.896	1	8.7969070482297e-4	0.413427944532027	0.8	0.842	1	3.6392675472294534e-14	0.48972396644584504	0.939	0.892	7.589692469747025e-10	0.002070154615889764	1.091780264168797e-13	BEC
mt-Nd2	0.0021502295025172067	0.19125158048045976	1	0.972	1	4.3259750712390743e-4	0.22617264329870657	1	0.963	1	1.388902759713938e-4	0.24700797636072735	1	0.955	1	0.0021502295025172067	4.1661295906716766e-4	FRC
mt-Nd5	1.5479034630297435e-9	0.5281393290567855	1	0.883	3.22815267214853e-5	5.629422471202696e-4	0.3242575296785162	1	0.891	1	0.002251409875781545	0.2790646795631557	0.921	0.828	1	0.002251409875781545	4.643710381901225e-9	FRC
Marco	6.005341598584505e-6	1.0742076411950159	0.531	0.03	0.12524139903847983	0.002255783796835922	0.657883432320165	0.429	0.184	1	0.002440828570923383	0.5537980727697673	0.34	0.111	1	0.002440828570923383	1.8015916603586932e-5	Marco_LEC
Dgkb	2.2594698736650813e-15	0.3956274410819745	0.25	0.013	4.712124421528527e-11	0.0022064389094804916	0.16873773436670414	0.143	0.022	1	0.002455382233770021	0.15494053795311497	0.111	0.017	1	0.002455382233770021	6.778409620995226e-15	PvC
Igfbp4	3.301266017924655e-4	0.4783779095856546	0.375	0.111	1	0.0025622463630654868	0.2845237523040363	0.429	0.143	1	0.0013315286120049333	0.48100419547066087	0.444	0.171	1	0.0025622463630654868	9.900528906361394e-4	PvC
Lpar6	1.5876024798518906e-5	0.9746413668867313	0.49	0.03	0.3310944971731118	2.813722037342554e-4	0.6200391951657499	0.351	0.061	1	0.002631959238910421	0.5236985118287859	0.291	0.093	1	0.002631959238910421	4.762731825506802e-5	Marco_LEC
Taf4b	5.409666460558631e-6	0.9738163714450992	0.653	0.121	0.11281859403495025	4.835526268752447e-7	0.854851011675191	0.545	0.102	0.010084490033483228	0.003836286492639894	0.46673008478154104	0.408	0.167	1	0.003836286492639894	1.4506571791564177e-6	Marco_LEC
Tspan2	0.0038789038485731193	0.15185108767066036	0.125	0.021	1	3.09433691585735e-4	0.1582252479057497	0.143	0.017	1	1.5310613048969047e-4	0.18564111959923968	0.167	0.025	1	0.0038789038485731193	4.5924807059652666e-4	PvC
Cped1	3.9643579040257e-9	0.31311567690026915	0.312	0.036	8.267668408845597e-5	0.004019845274949336	0.21924161545707366	0.214	0.049	1	0.0012507814334592185	0.2973424083039285	0.167	0.032	1	0.004019845274949336	1.18930736649287e-8	PvC
mt-Nd4l	3.7315189165501123e-8	0.7641438008346231	1	0.607	7.782082700465259e-4	1.623540739382913e-4	0.5002557252157093	0.929	0.575	1	0.0042978069227787245	0.39631301843682953	0.778	0.498	1	0.0042978069227787245	1.1194556331923333e-7	PvC
Pard3b	0.0015545125108978538	0.7590463550429699	0.388	0.091	1	0.0020996027482681175	0.5384183161517206	0.377	0.143	1	0.004952122200836433	0.4077140025387975	0.233	0.056	1	0.004952122200836433	0.004656291761747649	Marco_LEC
Zbtb5	8.711228062854277e-6	1.0465537911277738	0.612	0.121	0.18167266125082596	0.005023207517061444	0.5061901899219401	0.403	0.184	1	0.001359932331367776	0.5738961274734353	0.437	0.204	1	0.005023207517061444	2.6133456532740775e-5	Marco_LEC
Rbms3	0.0034267626088954426	0.5069315695873357	0.682	0.544	1	0.005236859134154375	0.34120011800492134	0.76	0.557	1	1.092817923021091e-4	0.350478294171676	0.763	0.527	1	0.005236859134154375	3.2780955068103954e-4	FRC
